timestamp,consent,demo_gender,demo_area_of_study,demo_honours_class,demo_job_search_status,demo_num_prior_interns,demo_financial_urgency,feas_pa1,feas_pa2,feas_pa3,feas_pa4,feas_pa5,feas_ka1,feas_ka2,feas_ka3,feas_ka4,feas_cr1,feas_cr2,feas_cr3,feas_cr4,ac1,feas_sr1,feas_sr2,feas_sr3,feas_sr4,bhv_apps_4_wks,bhv_itvs_4_wks,bhv_job_update_check_daily,ac2,bhv_app_duration,bhv_app_status_check_daily,bhv_app_avoidance_weekly,bhv_job_search_exp
2/24/2026 8:47:57,I agree,Male,Computing and Data,Honours (Highest Distinction),Actively applying,1-2,5,5,2,4,1,1,1,1,1,1,4,1,2,2,2,3,2,1,2,31+,2 - 3,1 - 2,0,<10 min,1 - 2,1 - 2,Not knowing what the companies want. Sometimes the job description does not match what they expect. During interviews it's almost like I applied a different job. 
2/24/2026 11:51:05,I agree,Female,Computing and Data,Honours (Distinction),Actively applying,1-2,3,5,4,2,5,4,5,5,4,5,2,5,1,2,2,4,2,4,2,6 - 15,1,1 - 2,0,10 - 30 min,0,3 - 5,"I dl being on LinkedIn sometimes it’s a luck game and I feel like I’m not competitive so it’s just stressful and wondering whether I’ve already lost the chance since the HRs like to ghost. It’s a bad market that’s a bit too reliant on previous experiences and the things you did when you were really young, and it doesn’t advantage people who might have been a bit late to the game  and now struggle to find anything good"
2/24/2026 11:55:42,I agree,Female,Design & Engineering,Honours (Highest Distinction),Actively applying,1-2,2,4,2,1,3,2,5,4,5,5,3,5,5,3,2,2,5,4,2,16 - 30,0,3 - 5,0,10 - 30 min,1 - 2,1 - 2,"1. Not making good progress - not trying hard enough? Didn't study the right major, have the right CCAs or skills, grades not good enough

2. Instinctively perceived as reflection of self: Not good enough, not trying hard enough with job applications etc. But can also recognize that the market is not performing well, employers seem very hesitant and reluctant to hire, and are not transparent with job requirements / rejection reasons

3. Mental health significantly poorer on days dedicated to job applications, experience low energy, physical tiredness + headache-like feeling after 2h when job searching, cried myself to sleep several times out of stress despite strong support from family, friends and tutors"
2/24/2026 12:07:31,I agree,Male,Design & Engineering,Honours (Distinction),Actively applying,1-2,5,2,2,2,1,4,2,4,3,4,2,1,2,2,2,2,4,4,4,0,1,3 - 5,0,10 - 30 min,1 - 2,0,"1. Social circle: I feel worried when I hear others getting offers from a company that I have not head back from. It makes me feel uneasy and reduces my self-esteem
2. Rejection/no response: I feel my peers applying to the same positions as me are as competent as me, if not more, so I associate offers mostly with luck although I will acknowledge that there are other contributing factors involved.
3. Physical stress: None"
2/24/2026 12:08:09,I agree,Female,Computing and Data,Honours (Distinction),Secured but still actively applying,3 and above,2,4,4,5,5,3,5,5,5,5,3,4,5,3,2,5,3,2,4,16 - 30,1,1 - 2,0,10 - 30 min,1 - 2,3 - 5,"Seeing people get to big companies feels a little off putting. This is despite knowing  that there is survivorship biasness at play here. It does lower my confidence a little. 

When rejection or no responses I would think its a mixture of all. I am not skilled enough, the market isnt hiring enough in general and I just didnt catch the eyes of recruiters.

My energy levels honestly drop drastically. I have to actively force myself to write my resume and apply to jobs on my commutes because I know I would not do it at home. "
2/24/2026 14:30:19,I agree,Female,"Arts, Humanities & Social Sciences",,Planning to apply soon,3 and above,1,4,2,4,2,4,3,4,2,4,2,2,2,2,2,2,3,4,2,1 - 5,1,0,0,> 2h,Not Applicable,0,"I think what has been stressful would be thinking about the sheer amount of applications I would have to keep sending out. I have been fortunate that I could find internships previously rather easily, but finding a full-time job is a different ball game. What's also stressful is when reading the job descriptions, I feel under-qualified to apply for the positions due to a lack of relevant experience. Hearing from others both their success and non-success stories adds pressure too - hearing others being successful makes me feel like I'm behind, hearing others being unsuccessful makes me feel even more worried about the job market."
2/24/2026 15:55:13,I agree,Female,"Arts, Humanities & Social Sciences",Honours (Distinction),Planning to apply soon,1-2,4,5,2,3,3,3,3,5,4,4,5,5,5,3,2,3,3,4,4,1 - 5,1,1 - 2,0,30 - 60 min,1 - 2,1 - 2,"I'll just take whatever as it comes. It's annoying when you get a response and they proceed to ghost you but otherwise I'm fine getting rejected. Job hunting is a very taxing process. Very tiring, makes you feel useless, but eh. It'll all be okay in the end considering I'm bound to graduate university. The most concerned I am is with the application of my learnings and the replacement of jobs by ai. Regarding application of learning, my main concern is just the initial job application and interview because you can always learn on the job.. iT's convincing the interviewers to let you in that is the issue"
2/24/2026 17:17:51,I agree,Male,Science,Honours (Distinction),Planning to apply soon,0,4,2,2,4,2,1,5,5,2,4,5,4,5,1,2,1,3,5,1,0,0,0,0,Not Applicable,0,0,NIL
2/24/2026 18:35:19,I agree,Female,Science,Honours (Distinction),Actively applying,1-2,3,4,4,5,4,4,3,2,3,2,2,2,3,2,2,4,3,4,4,16 - 30,1,0,0,10 - 30 min,0,1 - 2,"I haven’t had much success in receiving responses at all, which is concerning. At the same time, the jobs available for my experience level does not seem ideal in terms of role and salary. It does affect my sleep at times, as I stay up thinking about what to do, takes up my free time (even study time at times) as I apply for jobs or look for opportunities "
2/24/2026 18:35:56,I agree,Female,Design & Engineering,Honours (Merit),Actively applying,1-2,4,5,2,4,3,5,4,5,2,2,3,3,3,3,2,5,4,3,2,1 - 5,0,0,0,30 - 60 min,0,0,"What worries me the most is that there aren’t many roles actually available for fresh graduates. Companies are either looking for interns or experienced members of the workforce. Those who are hiring for early career roles later state in the job openings that they’re looking for those who have 3-5 years of experience, which many fresh graduates do not have."
